Kecamatan,Tahun,BanyakKejadian ,PohonTumbang ,JaringanListrik 
Berbah,2020,34,30,4
Berbah,2021,18,2,6
Cangkringan,2020,60,130,20
Cangkringan,2021,78,0,0
Depok,2020,38,26,10
Depok,2021,158,0,4
Gamping,2020,80,90,8
Gamping,2021,52,2,2
Godean,2020,20,22,6
Godean,2021,12,0,2
Kalasan,2020,146,64,10
Kalasan,2021,30,0,2
Minggir,2020,40,46,8
Minggir,2021,26,0,0
Mlati,2020,70,58,10
Mlati,2021,40,0,4
Moyudan,2020,64,80,8
Moyudan,2021,0,0,0
Ngaglik,2020,50,76,14
Ngaglik,2021,50,2,4
Ngemplak,2020,78,74,12
Ngemplak,2021,92,4,2
Pakem,2020,48,36,10
Pakem,2021,94,4,2
Prambanan,2020,32,44,12
Prambanan,2021,60,2,2
Seyegan,2020,12,10,4
Seyegan,2021,12,0,0
Sleman,2020,48,44,10
Sleman,2021,62,2,8
Tempel,2020,22,32,6
Tempel,2021,100,2,4
Turi,2020,12,12,2
Turi,2021,138,2,0
